benchmark,warmup_iter,iter,name,command,duration,lines,env
linux_alternates,1,3,rg (ignore),rg -n ERR_SYS|PME_TURN_OFF|LINK_REQ_RST|CFG_BME_EVT,1.7499706745147705,68,
linux_alternates,1,3,rg (ignore),rg -n ERR_SYS|PME_TURN_OFF|LINK_REQ_RST|CFG_BME_EVT,1.937486171722412,68,
linux_alternates,1,3,rg (ignore),rg -n ERR_SYS|PME_TURN_OFF|LINK_REQ_RST|CFG_BME_EVT,1.7500557899475098,68,
linux_alternates,1,3,rg (whitelist),rg --no-ignore -n ERR_SYS|PME_TURN_OFF|LINK_REQ_RST|CFG_BME_EVT,1.6093881130218506,68,
linux_alternates,1,3,rg (whitelist),rg --no-ignore -n ERR_SYS|PME_TURN_OFF|LINK_REQ_RST|CFG_BME_EVT,1.6093604564666748,68,
linux_alternates,1,3,rg (whitelist),rg --no-ignore -n ERR_SYS|PME_TURN_OFF|LINK_REQ_RST|CFG_BME_EVT,1.6093776226043701,68,
linux_alternates_casei,1,3,rg (ignore),rg -n -i ERR_SYS|PME_TURN_OFF|LINK_REQ_RST|CFG_BME_EVT,1.7656128406524658,160,
linux_alternates_casei,1,3,rg (ignore),rg -n -i ERR_SYS|PME_TURN_OFF|LINK_REQ_RST|CFG_BME_EVT,2.015634775161743,160,
linux_alternates_casei,1,3,rg (ignore),rg -n -i ERR_SYS|PME_TURN_OFF|LINK_REQ_RST|CFG_BME_EVT,1.7343745231628418,160,
linux_alternates_casei,1,3,rg (whitelist),rg --no-ignore -n -i ERR_SYS|PME_TURN_OFF|LINK_REQ_RST|CFG_BME_EVT,1.6562790870666504,160,
linux_alternates_casei,1,3,rg (whitelist),rg --no-ignore -n -i ERR_SYS|PME_TURN_OFF|LINK_REQ_RST|CFG_BME_EVT,1.6406257152557373,160,
linux_alternates_casei,1,3,rg (whitelist),rg --no-ignore -n -i ERR_SYS|PME_TURN_OFF|LINK_REQ_RST|CFG_BME_EVT,1.8593783378601074,160,
linux_literal,1,3,rg (ignore),rg -n PM_RESUME,1.5937538146972656,16,
linux_literal,1,3,rg (ignore),rg -n PM_RESUME,1.6406188011169434,16,
linux_literal,1,3,rg (ignore),rg -n PM_RESUME,1.7031352519989014,16,
linux_literal,1,3,rg (ignore) (mmap),rg -n --mmap PM_RESUME,2.0468902587890625,16,
linux_literal,1,3,rg (ignore) (mmap),rg -n --mmap PM_RESUME,2.0625009536743164,16,
linux_literal,1,3,rg (ignore) (mmap),rg -n --mmap PM_RESUME,2.0312445163726807,16,
linux_literal,1,3,rg (whitelist),rg -n --no-ignore -tall PM_RESUME,1.3437490463256836,16,
linux_literal,1,3,rg (whitelist),rg -n --no-ignore -tall PM_RESUME,1.1406033039093018,16,
linux_literal,1,3,rg (whitelist),rg -n --no-ignore -tall PM_RESUME,1.343785047531128,16,
linux_literal_casei,1,3,rg (ignore),rg -n -i PM_RESUME,1.6406524181365967,370,
linux_literal_casei,1,3,rg (ignore),rg -n -i PM_RESUME,1.6405999660491943,370,
linux_literal_casei,1,3,rg (ignore),rg -n -i PM_RESUME,1.640641212463379,370,
linux_literal_casei,1,3,rg (ignore) (mmap),rg -n -i --mmap PM_RESUME,2.01560378074646,370,
linux_literal_casei,1,3,rg (ignore) (mmap),rg -n -i --mmap PM_RESUME,2.0937438011169434,370,
linux_literal_casei,1,3,rg (ignore) (mmap),rg -n -i --mmap PM_RESUME,2.0156373977661133,370,
linux_literal_casei,1,3,rg (whitelist),rg -n -i --no-ignore -tall PM_RESUME,1.4374890327453613,370,
linux_literal_casei,1,3,rg (whitelist),rg -n -i --no-ignore -tall PM_RESUME,1.453122854232788,370,
linux_literal_casei,1,3,rg (whitelist),rg -n -i --no-ignore -tall PM_RESUME,1.4375088214874268,370,
linux_literal_default,1,3,rg,rg PM_RESUME,1.5625159740447998,16,
linux_literal_default,1,3,rg,rg PM_RESUME,1.5468766689300537,16,
linux_literal_default,1,3,rg,rg PM_RESUME,1.546886682510376,16,
linux_no_literal,1,3,rg (ignore),rg -n \w{5}\s+\w{5}\s+\w{5}\s+\w{5}\s+\w{5},1.9062511920928955,490,
linux_no_literal,1,3,rg (ignore),rg -n \w{5}\s+\w{5}\s+\w{5}\s+\w{5}\s+\w{5},1.9530625343322754,490,
linux_no_literal,1,3,rg (ignore),rg -n \w{5}\s+\w{5}\s+\w{5}\s+\w{5}\s+\w{5},2.078113555908203,490,
linux_no_literal,1,3,rg (ignore) (ASCII),rg -n (?-u)\w{5}\s+\w{5}\s+\w{5}\s+\w{5}\s+\w{5},1.703075885772705,490,
linux_no_literal,1,3,rg (ignore) (ASCII),rg -n (?-u)\w{5}\s+\w{5}\s+\w{5}\s+\w{5}\s+\w{5},1.9062538146972656,490,
linux_no_literal,1,3,rg (ignore) (ASCII),rg -n (?-u)\w{5}\s+\w{5}\s+\w{5}\s+\w{5}\s+\w{5},1.7031214237213135,490,
linux_no_literal,1,3,rg (whitelist),rg -n --no-ignore -tall \w{5}\s+\w{5}\s+\w{5}\s+\w{5}\s+\w{5},1.7656350135803223,418,
linux_no_literal,1,3,rg (whitelist),rg -n --no-ignore -tall \w{5}\s+\w{5}\s+\w{5}\s+\w{5}\s+\w{5},1.8906376361846924,418,
linux_no_literal,1,3,rg (whitelist),rg -n --no-ignore -tall \w{5}\s+\w{5}\s+\w{5}\s+\w{5}\s+\w{5},1.656266212463379,418,
linux_no_literal,1,3,rg (whitelist) (ASCII),rg -n --no-ignore -tall (?-u)\w{5}\s+\w{5}\s+\w{5}\s+\w{5}\s+\w{5},1.500044345855713,418,
